OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/03/2023 14:32,LARCENY-THEFT,SHELTER-MISSION/HOMELESS
01/03/2024 0:00,RAPE,HOTEL / MOTEL,01/03/2023 14:40,MOTOR VEHICLE THEFT,PARKING LOT
01/03/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION,01/03/2023 14:59,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 0:00,ARSON,,01/03/2023 15:00,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/03/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE,01/03/2023 15:05,AGGRAVATED ASSAULT,SPECIALTY STORE
01/03/2024 0:00,LARCENY-THEFT,AIRPORT,01/03/2023 15:17,LARCENY-THEFT,SPECIALTY STORE
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/03/2023 15:18,LARCENY-THEFT,SPECIALTY STORE
01/03/2024 0:00,LARCENY-THEFT,OPEN SPACE / DESERT,01/03/2023 15:21,LARCENY-THEFT,RETAIL BUSINESS
01/03/2024 0:01,BURGLARY,GARAGE,01/03/2023 15:30,ROBBERY,STREET / ROADWAY / SIDEWALK
01/03/2024 0:01,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/03/2023 16:00,LARCENY-THEFT,SHOPPING MALL
01/03/2024 0:15,BURGLARY,SINGLE FAMILY HOUSE,01/03/2023 16:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/03/2024 0:20,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/03/2023 16:00,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/03/2024 0:30,BURGLARY,STOREROOM/SHED (COMMERCIAL),01/03/2023 16:00,LARCENY-THEFT,PARKING LOT
01/03/2024 0:38,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/03/2023 16:06,MOTOR VEHICLE THEFT,APARTMENT
01/03/2024 1:00,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/03/2023 16:07,DRUG OFFENSE,ALLEY
01/03/2024 1:00,LARCENY-THEFT,DRIVEWAY,01/03/2023 16:44,LARCENY-THEFT,RETAIL BUSINESS
01/03/2024 1:00,MOTOR VEHICLE THEFT,APARTMENT,01/04/2023 8:08,LARCENY-THEFT,VEHICLE
01/03/2024 1:09,AGGRAVATED ASSAULT,GAS / SERVICE STATION,01/04/2023 8:30,LARCENY-THEFT,PARKING LOT
01/03/2024 2:00,LARCENY-THEFT,APARTMENT,01/04/2023 8:30,BURGLARY,SCHOOL-ELEMENTARY/SECONDARY
01/03/2024 2:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK,01/04/2023 8:43,DRUG OFFENSE,PARKING LOT
01/03/2024 2:24,DRUG OFFENSE,OTHER,01/04/2023 8:56,DRUG OFFENSE,BUS STOP
01/03/2024 3:02,LARCENY-THEFT,DRIVEWAY,01/04/2023 9:00,LARCENY-THEFT,PARKING LOT
01/03/2024 3:44,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE,01/04/2023 9:00,LARCENY-THEFT,VEHICLE
01/03/2024 3:49,BURGLARY,SPECIALTY STORE,01/04/2023 9:05,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2024 3:50,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/04/2023 9:30,AGGRAVATED ASSAULT,VEHICLE
01/03/2024 3:56,AGGRAVATED ASSAULT,APARTMENT,01/04/2023 9:39,LARCENY-THEFT,RETAIL BUSINESS
01/03/2024 4:00,LARCENY-THEFT,PARK / PLAYGROUND,01/04/2023 9:50,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2024 4:57,AGGRAVATED ASSAULT,VEHICLE,01/04/2023 10:00,RAPE,APARTMENT
01/03/2024 20:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING,01/04/2023 10:00,LARCENY-THEFT,HOTEL / MOTEL
01/03/2024 20:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/04/2023 10:00,LARCENY-THEFT,PARK / PLAYGROUND
01/03/2024 20:15,MOTOR VEHICLE THEFT,DRIVEWAY,01/04/2023 10:17,DRUG OFFENSE,VEHICLE
01/03/2024 20:20,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/04/2023 10:20,DRUG OFFENSE,RESTAURANT
01/03/2024 20:25,AGGRAVATED ASSAULT,APARTMENT,01/04/2023 10:40,AGGRAVATED ASSAULT,SPECIALTY STORE
01/03/2024 20:29,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/04/2023 10:40,AGGRAVATED ASSAULT,PARKING GARAGE
01/03/2024 20:30,MOTOR VEHICLE THEFT,APARTMENT,01/04/2023 10:43,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/03/2024 20:31,LARCENY-THEFT,GROCERY / SUPER MARKET,01/04/2023 10:56,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 20:40,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/04/2023 11:24,AGGRAVATED ASSAULT,APARTMENT
01/03/2024 20:56,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/04/2023 11:30,BURGLARY,SINGLE FAMILY HOUSE
01/03/2024 21:00,RAPE,ALLEY,01/04/2023 12:00,LARCENY-THEFT,CONDO / TOWNHOUSE
01/03/2024 21:00,LARCENY-THEFT,APARTMENT,01/04/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 21:10,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/04/2023 12:04,DRUG OFFENSE,VEHICLE
01/03/2024 21:15,LARCENY-THEFT,AIRPORT,01/04/2023 12:47,DRUG OFFENSE,APARTMENT
